risk_class,bucket,sensitivity_type,risk_value
EQUITY,1,Delta,2.73956
EQUITY,2,Delta,-0.611216
EQUITY,3,Delta,3.585979
EQUITY,4,Delta,1.97368
EQUITY,5,Delta,-4.058227
EQUITY,6,Delta,4.756224
EQUITY,7,Delta,2.611397
EQUITY,1,Delta,2.860643
EQUITY,2,Delta,-3.718864
EQUITY,3,Delta,-0.496141
EQUITY,4,Delta,-1.29202
EQUITY,5,Delta,4.26765
EQUITY,6,Delta,1.438651
EQUITY,7,Delta,3.227616
EQUITY,1,Delta,-0.565858
EQUITY,2,Delta,-2.727613
EQUITY,3,Delta,0.545848
EQUITY,4,Delta,-4.361827
EQUITY,5,Delta,3.276312
EQUITY,6,Delta,1.316644
EQUITY,7,Delta,2.580877
EQUITY,1,Delta,-1.45474
EQUITY,2,Delta,4.70698
EQUITY,3,Delta,3.931211
EQUITY,4,Delta,2.783835
EQUITY,5,Delta,-3.053613
EQUITY,6,Delta,-0.33279
EQUITY,7,Delta,-4.561962
EQUITY,1,Delta,-3.457105
EQUITY,2,Delta,1.83049
EQUITY,3,Delta,2.447622
EQUITY,4,Delta,4.675097
EQUITY,5,Delta,-1.741746
EQUITY,6,Delta,-1.295403
EQUITY,7,Delta,-0.304442
EQUITY,1,Delta,-3.105286
EQUITY,2,Delta,-3.700785
EQUITY,3,Delta,-0.242951
EQUITY,4,Delta,-2.730907
EQUITY,5,Delta,1.69814
EQUITY,6,Delta,-0.628481
EQUITY,7,Delta,3.326782
EQUITY,1,Delta,2.002651
EQUITY,2,Delta,-1.876334
EQUITY,3,Delta,3.322598
EQUITY,4,Delta,3.047644
EQUITY,5,Delta,-1.125216
EQUITY,6,Delta,-2.116719
EQUITY,7,Delta,1.824955
EQUITY,1,Delta,-3.602475
