risk_class,bucket,sensitivity_type,risk_value
EQUITY,1,Vega,2.73956
EQUITY,2,Vega,-0.611216
EQUITY,3,Vega,3.585979
EQUITY,4,Vega,1.97368
EQUITY,5,Vega,-4.058227
EQUITY,6,Vega,4.756224
EQUITY,7,Vega,2.611397
EQUITY,1,Vega,2.860643
EQUITY,2,Vega,-3.718864
EQUITY,3,Vega,-0.496141
EQUITY,4,Vega,-1.29202
EQUITY,5,Vega,4.26765
EQUITY,6,Vega,1.438651
EQUITY,7,Vega,3.227616
EQUITY,1,Vega,-0.565858
EQUITY,2,Vega,-2.727613
EQUITY,3,Vega,0.545848
EQUITY,4,Vega,-4.361827
EQUITY,5,Vega,3.276312
EQUITY,6,Vega,1.316644
EQUITY,7,Vega,2.580877
EQUITY,1,Vega,-1.45474
EQUITY,2,Vega,4.70698
EQUITY,3,Vega,3.931211
EQUITY,4,Vega,2.783835
EQUITY,5,Vega,-3.053613
EQUITY,6,Vega,-0.33279
EQUITY,7,Vega,-4.561962
EQUITY,1,Vega,-3.457105
EQUITY,2,Vega,1.83049
EQUITY,3,Vega,2.447622
EQUITY,4,Vega,4.675097
EQUITY,5,Vega,-1.741746
EQUITY,6,Vega,-1.295403
EQUITY,7,Vega,-0.304442
EQUITY,1,Vega,-3.105286
EQUITY,2,Vega,-3.700785
EQUITY,3,Vega,-0.242951
EQUITY,4,Vega,-2.730907
EQUITY,5,Vega,1.69814
EQUITY,6,Vega,-0.628481
EQUITY,7,Vega,3.326782
EQUITY,1,Vega,2.002651
EQUITY,2,Vega,-1.876334
EQUITY,3,Vega,3.322598
EQUITY,4,Vega,3.047644
EQUITY,5,Vega,-1.125216
EQUITY,6,Vega,-2.116719
EQUITY,7,Vega,1.824955
EQUITY,1,Vega,-3.602475
