risk_class,bucket,sensitivity_type,risk_value
FX,EURUSD,Delta,54.79121
FX,GBPUSD,Delta,-12.224312
FX,USDJPY,Delta,71.719584
FX,USDCHF,Delta,39.473606
FX,AUDUSD,Delta,-81.16453
FX,EURUSD,Delta,95.12447
FX,GBPUSD,Delta,52.22794
FX,USDJPY,Delta,57.212861
FX,USDCHF,Delta,-74.377273
FX,AUDUSD,Delta,-9.922812
FX,EURUSD,Delta,-25.840395
FX,GBPUSD,Delta,85.352998
FX,USDJPY,Delta,28.773024
FX,USDCHF,Delta,64.552323
FX,AUDUSD,Delta,-11.31716
FX,EURUSD,Delta,-54.552256
FX,GBPUSD,Delta,10.916957
FX,USDJPY,Delta,-87.236549
FX,USDCHF,Delta,65.526234
FX,AUDUSD,Delta,26.33288
FX,EURUSD,Delta,51.617548
FX,GBPUSD,Delta,-29.094806
FX,USDJPY,Delta,94.139605
FX,USDCHF,Delta,78.624224
FX,AUDUSD,Delta,55.676699
FX,EURUSD,Delta,-61.072258
FX,GBPUSD,Delta,-6.655799
FX,USDJPY,Delta,-91.239247
FX,USDCHF,Delta,-69.142102
FX,AUDUSD,Delta,36.609791
FX,EURUSD,Delta,48.952431
FX,GBPUSD,Delta,93.501946
FX,USDJPY,Delta,-34.834928
FX,USDCHF,Delta,-25.908059
FX,AUDUSD,Delta,-6.088838
FX,EURUSD,Delta,-62.105728
FX,GBPUSD,Delta,-74.015699
FX,USDJPY,Delta,-4.859015
FX,USDCHF,Delta,-54.61813
FX,AUDUSD,Delta,33.962799
FX,EURUSD,Delta,-12.569616
FX,GBPUSD,Delta,66.535639
FX,USDJPY,Delta,40.05302
FX,USDCHF,Delta,-37.526672
FX,AUDUSD,Delta,66.45196
FX,EURUSD,Delta,60.952871
FX,GBPUSD,Delta,-22.504324
FX,USDJPY,Delta,-42.334379
FX,USDCHF,Delta,36.499101
FX,AUDUSD,Delta,-72.049503
