risk_class,bucket,sensitivity_type,risk_value
FX,EURUSD,Vega,54.79121
FX,GBPUSD,Vega,-12.224312
FX,USDJPY,Vega,71.719584
FX,USDCHF,Vega,39.473606
FX,AUDUSD,Vega,-81.16453
FX,EURUSD,Vega,95.12447
FX,GBPUSD,Vega,52.22794
FX,USDJPY,Vega,57.212861
FX,USDCHF,Vega,-74.377273
FX,AUDUSD,Vega,-9.922812
FX,EURUSD,Vega,-25.840395
FX,GBPUSD,Vega,85.352998
FX,USDJPY,Vega,28.773024
FX,USDCHF,Vega,64.552323
FX,AUDUSD,Vega,-11.31716
FX,EURUSD,Vega,-54.552256
FX,GBPUSD,Vega,10.916957
FX,USDJPY,Vega,-87.236549
FX,USDCHF,Vega,65.526234
FX,AUDUSD,Vega,26.33288
FX,EURUSD,Vega,51.617548
FX,GBPUSD,Vega,-29.094806
FX,USDJPY,Vega,94.139605
FX,USDCHF,Vega,78.624224
FX,AUDUSD,Vega,55.676699
FX,EURUSD,Vega,-61.072258
FX,GBPUSD,Vega,-6.655799
FX,USDJPY,Vega,-91.239247
FX,USDCHF,Vega,-69.142102
FX,AUDUSD,Vega,36.609791
FX,EURUSD,Vega,48.952431
FX,GBPUSD,Vega,93.501946
FX,USDJPY,Vega,-34.834928
FX,USDCHF,Vega,-25.908059
FX,AUDUSD,Vega,-6.088838
FX,EURUSD,Vega,-62.105728
FX,GBPUSD,Vega,-74.015699
FX,USDJPY,Vega,-4.859015
FX,USDCHF,Vega,-54.61813
FX,AUDUSD,Vega,33.962799
FX,EURUSD,Vega,-12.569616
FX,GBPUSD,Vega,66.535639
FX,USDJPY,Vega,40.05302
FX,USDCHF,Vega,-37.526672
FX,AUDUSD,Vega,66.45196
FX,EURUSD,Vega,60.952871
FX,GBPUSD,Vega,-22.504324
FX,USDJPY,Vega,-42.334379
FX,USDCHF,Vega,36.499101
FX,AUDUSD,Vega,-72.049503
