risk_class,bucket,sensitivity_type,risk_value
GIRR,USD,Vega,"[0.547912, -0.122243, 0.717196, 0.394736, -0.811645, 0.951245, 0.522279, 0.572129, -0.743773, -0.099228]"
GIRR,EUR,Vega,"[-0.258404, 0.85353, 0.28773, 0.645523, -0.113172, -0.545523, 0.10917, -0.872365, 0.655262, 0.263329]"
GIRR,GBP,Vega,"[0.516175, -0.290948, 0.941396, 0.786242, 0.556767, -0.610723, -0.066558, -0.912392, -0.691421, 0.366098]"
GIRR,JPY,Vega,"[0.489524, 0.935019, -0.348349, -0.259081, -0.060888, -0.621057, -0.740157, -0.04859, -0.546181, 0.339628]"
GIRR,USD,Vega,"[-0.125696, 0.665356, 0.40053, -0.375267, 0.66452, 0.609529, -0.225043, -0.423344, 0.364991, -0.720495]"
GIRR,EUR,Vega,"[-0.600184, -0.985275, 0.573849, 0.329702, 0.410331, 0.561458, -0.082168, 0.137482, -0.720406, -0.77094]"
GIRR,GBP,Vega,"[0.336806, -0.057808, 0.130472, 0.529998, 0.269437, 0.107159, 0.118414, -0.3921, -0.938364, -0.126565]"
GIRR,JPY,Vega,"[-0.570831, -0.182943, 0.706806, -0.532121, -0.883395, -0.437232, -0.412812, 0.323833, 0.114064, 0.567796]"
GIRR,USD,Vega,"[0.328627, -0.187226, 0.628041, -0.666054, -0.954576, -0.819904, 0.444719, -0.076246, -0.677456, 0.00209]"
GIRR,EUR,Vega,"[-0.695376, 0.392641, -0.107687, -0.237958, -0.396976, 0.260565, -0.276375, -0.8247, -0.763988, 0.923795]"
GIRR,GBP,Vega,"[0.817161, 0.399414, -0.46826, 0.938353, 0.557502, 0.43378, -0.101277, -0.455517, -0.807218, 0.805205]"
GIRR,JPY,Vega,"[-0.088447, -0.595273, -0.388087, 0.158439, -0.646454, 0.713229, 0.517039, 0.438926, -0.135814, 0.254618]"
GIRR,USD,Vega,"[0.168196, 0.299693, -0.831111, -0.168385, -0.916772, -0.012018, -0.340278, -0.710952, -0.793194, 0.175289]"
GIRR,EUR,Vega,"[-0.658814, 0.85024, 0.162122, -0.30626, 0.181831, -0.954392, 0.917118, -0.035393, 0.56547, -0.83454]"
GIRR,GBP,Vega,"[-0.026683, -0.018586, 0.875653, 0.143456, -0.053021, -0.466049, -0.336862, 0.041345, -0.122177, -0.956776]"
GIRR,JPY,Vega,"[0.652584, 0.792322, -0.719502, 0.108072, -0.782849, 0.34448, -0.437532, 0.318845, 0.453989, 0.537295]"
GIRR,USD,Vega,"[-0.784518, 0.832024, -0.539572, -0.925175, 0.109705, -0.258155, 0.659579, 0.616503, -0.365722, 0.905799]"
